sample_id,group,s3_path,filename
H1310077,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310077_S62_L001_R1_001.fastq.gz,H1310077_S62_L001_R1_001.fastq.gz
H1310078,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310078_S13_L001_R1_001.fastq.gz,H1310078_S13_L001_R1_001.fastq.gz
H1310079,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310079_S10_L001_R1_001.fastq.gz,H1310079_S10_L001_R1_001.fastq.gz
H1310081,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310081_S52_L001_R1_001.fastq.gz,H1310081_S52_L001_R1_001.fastq.gz
H1310093,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310093_S20_L001_R1_001.fastq.gz,H1310093_S20_L001_R1_001.fastq.gz
H1310094,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310094_S17_L001_R1_001.fastq.gz,H1310094_S17_L001_R1_001.fastq.gz
H1310095,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310095_S15_L001_R1_001.fastq.gz,H1310095_S15_L001_R1_001.fastq.gz
H1310099,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310099_S5_L001_R1_001.fastq.gz,H1310099_S5_L001_R1_001.fastq.gz
H1310101,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310101_S6_L001_R1_001.fastq.gz,H1310101_S6_L001_R1_001.fastq.gz
H1310104,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310104_S8_L001_R1_001.fastq.gz,H1310104_S8_L001_R1_001.fastq.gz
H1310107,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310107_S12_L001_R1_001.fastq.gz,H1310107_S12_L001_R1_001.fastq.gz
H1310110,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310110_S19_L001_R1_001.fastq.gz,H1310110_S19_L001_R1_001.fastq.gz
H1310113,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310113_S23_L001_R1_001.fastq.gz,H1310113_S23_L001_R1_001.fastq.gz
H1310115,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310115_S2_L001_R1_001.fastq.gz,H1310115_S2_L001_R1_001.fastq.gz
H1310116,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310116_S5_L001_R1_001.fastq.gz,H1310116_S5_L001_R1_001.fastq.gz
H1310128,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310128_S3_L001_R1_001.fastq.gz,H1310128_S3_L001_R1_001.fastq.gz
H1310143,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310143_S3_L001_R1_001.fastq.gz,H1310143_S3_L001_R1_001.fastq.gz
H1310160,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310160_S19_L001_R1_001.fastq.gz,H1310160_S19_L001_R1_001.fastq.gz
H1310161,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310161_S20_L001_R1_001.fastq.gz,H1310161_S20_L001_R1_001.fastq.gz
H1310162,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310162_S21_L001_R1_001.fastq.gz,H1310162_S21_L001_R1_001.fastq.gz
H1310163,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310163_S22_L001_R1_001.fastq.gz,H1310163_S22_L001_R1_001.fastq.gz
H1310164,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310164_S23_L001_R1_001.fastq.gz,H1310164_S23_L001_R1_001.fastq.gz
H1310171,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310171_S29_L001_R1_001.fastq.gz,H1310171_S29_L001_R1_001.fastq.gz
H1310173,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310173_S30_L001_R1_001.fastq.gz,H1310173_S30_L001_R1_001.fastq.gz
H1310176,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310176_S32_L001_R1_001.fastq.gz,H1310176_S32_L001_R1_001.fastq.gz
H1310177,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310177_S35_L001_R1_001.fastq.gz,H1310177_S35_L001_R1_001.fastq.gz
H1310180,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310180_S38_L001_R1_001.fastq.gz,H1310180_S38_L001_R1_001.fastq.gz
H1310182,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310182_S40_L001_R1_001.fastq.gz,H1310182_S40_L001_R1_001.fastq.gz
H1310187,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310187_S45_L001_R1_001.fastq.gz,H1310187_S45_L001_R1_001.fastq.gz
H1310188,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310188_S46_L001_R1_001.fastq.gz,H1310188_S46_L001_R1_001.fastq.gz
H1310189,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310189_S47_L001_R1_001.fastq.gz,H1310189_S47_L001_R1_001.fastq.gz
H1310192,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310192_S50_L001_R1_001.fastq.gz,H1310192_S50_L001_R1_001.fastq.gz
H1310193,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310193_S51_L001_R1_001.fastq.gz,H1310193_S51_L001_R1_001.fastq.gz
H1310195,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310195_S53_L001_R1_001.fastq.gz,H1310195_S53_L001_R1_001.fastq.gz
